u,g,r,i,z,specClass,redshift,redshifterr
17.451954,16.137806,15.548249,15.042027,14.882285,2,0.0869915,0.000108317
18.127691,16.766823,16.083586,15.647685,15.394728,2,0.0814955,9.70234e-05
18.656502,17.54457,17.042847,16.730713,16.51593,2,0.046715,7.8266e-05
19.226503,18.123615,17.409952,16.892635,16.665926,2,0.0923279,7.8845e-05
18.729752,17.535135,17.159952,16.877113,16.82942,2,0.046642,9.72788e-05
18.511951,17.603699,17.315054,17.0662,16.94466,2,0.0387384,7.04105e-05
18.723015,16.874155,16.049902,15.6536875,15.3495245,2,0.0464102,0.000177249
17.56903,16.075842,15.329773,14.902793,14.616316,2,0.0458525,8.33105e-05
18.624825,17.352308,16.679853,16.23679,15.9481535,2,0.0649986,9.93215e-05
19.523338,17.614544,16.698963,16.264797,15.916385,2,0.0808819,0.000154407
18.36701,17.861294,17.56469,17.248072,17.362556,2,0.16859,0.000806924
17.59596,16.362404,15.79024,15.460227,15.20605,2,0.0349826,7.89256e-05
19.096424,17.213045,16.241238,15.812662,15.484255,2,0.0903628,0.000157109
18.809761,17.288471,16.50676,16.029417,15.739272,2,0.0457652,8.90297e-05
19.49939,18.1881,17.597277,17.266373,17.087395,2,0.0777019,0.000164532
19.298403,17.80503,17.21022,16.936567,16.699509,2,0.0926761,1.0890532e-28
18.886738,17.414968,16.602505,16.151129,15.817554,2,0.0672027,9.28925e-05
18.919638,18.00712,17.680374,17.355825,17.281744,2,0.0690417,7.28746e-05
18.0045,16.479502,15.736395,15.322678,15.0441265,2,0.0686858,0.000153472
19.21999,17.981594,17.547731,17.34112,17.32894,2,0.0583053,0.000132606
19.168232,18.03618,17.679068,17.424965,17.284365,2,0.0691528,7.36744e-05
18.62381,17.68498,17.317421,17.129187,16.962547,2,0.0211452,8.44269e-05
18.93755,17.39408,16.586222,16.165855,15.843232,2,0.0691074,0.000150764
19.464832,17.76278,16.943254,16.48639,16.125078,2,0.0943513,0.000156623
19.54842,17.630648,16.669785,16.242725,15.9031,2,0.0950573,0.000162221
19.541632,18.599075,17.913984,17.539799,17.392963,2,0.215342,9.60696e-05
19.123556,18.727505,18.689453,18.70354,18.617073,3,0.731792,0.00123762
19.11313,17.8884,17.186487,16.820053,16.590263,2,0.151264,9.53575e-05
18.220554,16.64909,15.909713,15.480566,15.178385,2,0.0669368,0.000158758
18.737658,17.23713,16.54979,16.184889,15.924846,2,0.0627114,0.000149932
19.482365,18.109215,17.317474,16.913177,16.626055,2,0.153859,0.000165629
19.236382,17.60692,16.96115,16.682425,16.47223,2,0.10285,0.000138209
19.478636,18.09612,17.562674,17.25792,17.162464,2,0.103797,0.000175033
18.992558,17.630457,16.912418,16.508343,16.2519,2,0.0989797,0.000148938
19.128487,17.858742,17.255522,16.920681,16.71965,2,0.10376,0.000179426
19.53293,17.663387,16.77371,16.352928,16.017609,2,0.0768118,0.000157052
19.183765,18.929829,18.672022,18.386538,18.099623,3,0.429173,0.00136474
17.837643,16.54894,15.840724,15.468249,15.217943,2,0.136863,0.000284466
19.484196,19.302168,19.19898,18.981073,18.981976,3,1.62859,0.0014322
19.448338,17.593088,16.762688,16.321714,16.033709,2,0.137557,0.000146663
19.540627,17.935898,17.073946,16.652079,16.360765,2,0.0785192,0.000163777
19.588358,18.213472,17.228655,16.662086,16.46779,2,0.110032,0.000156155
19.379229,19.205173,18.498192,18.161802,17.70368,2,0.371943,0.00140367
19.21059,17.697657,16.927546,16.508389,16.219687,2,0.0780716,0.000176348
19.017914,16.956043,15.9746065,15.505612,15.15046,2,0.0783198,0.000184157
18.903477,17.32194,16.355484,15.862617,15.532906,2,0.133277,0.000886323
18.97553,17.100761,16.20269,15.765074,15.395127,2,0.0701729,0.000167604
18.635244,18.154299,17.442883,16.926035,16.683485,3,0.167838,0.00105062
19.367111,18.108934,17.563705,17.206577,16.95851,2,0.105045,0.000179347
19.451132,18.180418,17.539862,17.151524,16.892,2,0.084083,8.90127e-05
18.469976,17.647343,17.312887,16.936426,16.88153,2,0.112412,4.45338e-05
19.525705,17.533112,16.576231,16.16052,15.808487,2,0.0830134,0.00016309
18.4534,17.038128,16.226397,15.762671,15.4715605,2,0.136171,9.70553e-05
19.039848,17.61357,16.95286,16.555902,16.294024,2,0.0620796,0.000187511
19.143034,17.791945,17.022118,16.648634,16.39782,2,0.108516,0.000151785
18.366558,17.222359,16.694054,16.350157,16.172709,2,0.0700244,9.55011e-05
18.732307,17.599997,17.192087,16.927261,16.746384,2,0.0490645,7.628e-05
